,0
670,-57
671,14
672,20
673,-112
674,-2
675,-15
676,-120
677,-43
678,-59
679,-23
680,-22
681,16
682,-117
683,-22
684,19
685,-22
686,-118
687,-19
688,20
689,-36
690,18
691,-53
692,-10
693,-107
694,-17
695,-93
696,15
697,-11
698,-78
699,-29
700,-80
701,-83
702,20
703,8
704,5
705,-3
706,18
707,-57
708,-44
709,-10
710,8
711,19
712,15
713,-10
714,19
715,14
716,-79
717,14
718,6
719,0
720,-43
721,20
722,-10
723,-21
724,17
725,-94
726,-11
727,16
728,20
729,-122
730,19
731,-14
732,16
733,-7
734,15
735,-10
736,14
737,-43
738,20
739,16
740,2
741,-103
742,11
743,-16
744,20
745,-10
746,6
747,-11
748,-10
749,19
750,-137
751,-17
752,18
753,11
754,-57
755,-20
756,-10
757,-98
758,19
759,18
760,-10
761,4
762,18
763,-36
764,-37
765,-73
766,-66
767,-13
768,20
769,-53
770,18
771,2
772,-10
773,20
774,-118
775,-22
776,-55
777,-10
778,14
779,11
780,-37
781,-63
782,-15
783,16
784,5
785,20
786,20
787,-138
788,15
789,18
790,-50
791,-13
792,-66
793,-49
794,14
795,-39
796,17
797,18
798,-35
799,-10
800,14
801,20
802,-42
803,-10
804,-29
805,-37
806,-33
807,-24
808,11
809,-78
810,-37
811,15
812,16
813,-10
814,-18
815,14
816,15
817,19
818,15
819,-37
820,-116
821,17
822,14
823,16
824,-66
825,16
826,19
827,-9
828,-50
829,16
830,-28
831,0
832,8
833,-10
834,-124
835,4
836,12
837,-10
838,15
839,18
840,-76
841,17
842,18
843,12
844,-9
845,-108
846,-29
847,4
848,-76
849,-11
850,-10
851,8
852,13
853,14
854,0
855,9
856,-102
857,-32
858,17
859,-13
860,16
861,-73
862,17
863,19
864,18
865,20
866,16
867,14
868,19
869,-12
870,-26
871,-76
872,9
873,20
874,13
875,-26
876,-33
877,-10
878,20
879,-26
880,11
881,-12
882,17
883,20
884,17
885,17
886,-41
887,-88
888,6
889,-12
890,20
891,-33
892,-139
893,3
894,-34
895,-1
896,-32
897,-10
898,15
899,-73
900,13
901,-10
902,-55
903,17
904,-21
905,15
906,-26
907,12
908,13
909,18
910,19
911,19
912,-17
913,-49
914,19
915,-13
916,12
917,-37
918,-87
919,-7
920,18
921,15
922,-10
923,-90
924,-8
925,-34
926,-20
927,-11
928,-72
929,-88
930,-50
931,14
932,-37
933,18
934,13
935,-62
936,-11
937,-79
938,-41
939,-31
940,-5
941,-20
942,-22
943,-15
944,-97
945,13
946,-17
947,-63
948,-30
949,16
950,-51
951,-102
952,-14
953,-13
954,-76
955,-9
956,18
957,18
958,-41
959,-50
960,14
961,12
962,-67
963,19
964,-16
965,10
966,-97
967,8
968,-39
969,19
970,-10
971,13
972,-11
973,-42
974,-30
975,16
976,13
977,20
978,-10
979,13
980,15
981,-11
982,9
983,-51
984,-36
985,-10
986,20
987,-10
988,-59
989,-11
990,-71
991,15
992,-15
993,-22
994,-58
995,-43
996,-52
997,18
998,-49
999,19
